department_key,department_name
10,Finance
11,Accounting
12,Treasury
13,Tax
14,Audit
15,Financial Planning
16,Procurement
17,Legal
18,Compliance
19,Risk Management
20,Sales
21,Business Development
22,Customer Success
23,Sales Operations
24,Channel Partners
25,Sales Engineering
26,Account Management
27,Inside Sales
28,Field Sales
29,Sales Support
30,Marketing
31,Digital Marketing
32,Content Marketing
33,Product Marketing
34,Brand Marketing
35,Event Marketing
36,Market Research
37,Public Relations
38,Social Media
39,Marketing Operations
40,HR
